tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04013071505,AZ,1833.0,6537,2829.9,2.31,52922,33.6083559,-112.2949923,"436,480","5,760",1.32,"43,132",70.0,6.57,4,40.0,40.0,5982700.0
04001944000,AZ,2789.0,5348,17.5,305.81,35983,35.718709,-109.06539,"176,769","4,806",2.72,"30,630",34.0,0.0,4,88.0,85.0,7.91414465E8
04009961100,AZ,1727.0,4849,8.5,572.32,53296,33.0750541,-109.9037408,"113,238","2,079",1.84,"48,693",37.0,18.83,4,29.0,24.0,1.477420419E9
04007001000,AZ,1610.0,4605,12.9,356.04,38655,33.4070017,-110.8156027,"570,125","19,000",3.33,"33,988",51.0,60.34,4,152.0,184.0,9.20675859E8
04007000600,AZ,828.0,1569,3.1,507.09,41130,34.1385275,-110.9888493,"10,952",384,3.51,"35,919",57.0,67.44,4,7.0,16.0,1.312860727E9
04007000400,AZ,3741.0,5307,156.1,33.99,55103,34.2555804,-111.3171652,"119,826","2,079",1.74,"49,359",59.0,68.09,4,375.0,599.0,8.8031848E7
04007001200,AZ,2392.0,4872,70.2,69.45,55528,33.2947891,-110.7760408,"137,754","1,647",1.2,"61,914",39.0,62.03,4,185.0,219.0,1.79852508E8
04005942201,AZ,3950.0,3678,4.0,920.51,46401,36.5554235,-111.4232047,"100,224","9,423",9.4,"36,500",33.0,0.0,4,79.0,76.0,2.3836311E9
04012940200,AZ,5161.0,3414,2147.2,1.59,52800,34.1450937,-114.2877358,"25,056",376,1.5,"57,786",32.0,91.45,4,135.0,156.0,4087531.0
04003000800,AZ,2483.0,5130,694.2,7.39,44551,31.3525098,-109.5367092,"255,040","10,304",4.04,"42,109",34.0,17.81,4,89.0,62.0,1.9077006E7
04005945100,AZ,6463.0,3342,1.5,2270.42,43526,35.240703,-110.9976096,"260,032","15,424",5.93,"33,716",34.0,0.0,4,34.0,33.0,5.863724287E9
04007001100,AZ,3197.0,3660,398.7,9.18,56184,33.3961738,-110.7999505,"477,750","20,250",4.24,"55,689",43.0,62.42,4,130.0,109.0,2.370889E7
04013071517,AZ,2291.0,3961,4259.1,0.93,80142,33.6058603,-112.2435072,"103,572","2,754",2.66,"74,998",34.0,5.99,4,435.0,405.0,2405437.0
04007000700,AZ,3220.0,1695,2.1,802.24,37324,33.7754809,-111.0929434,"1,993",55,2.76,"35,976",64.0,51.25,4,40.0,71.0,2.034093583E9
04001944901,AZ,1379.0,3369,5.8,577.08,29212,35.7916357,-109.3338227,"499,875","6,375",1.28,"22,752",32.0,0.0,4,12.0,8.0,1.493024603E9
04005001700,AZ,7123.0,3347,36.6,91.44,61266,35.2140283,-112.1528223,"237,568","4,608",1.94,"52,227",41.0,95.05,4,385.0,465.0,2.49869453E8
04001944202,AZ,3018.0,3608,21.8,165.83,30496,36.2212815,-109.481362,"32,072","1,608",5.01,"27,843",28.0,0.0,4,29.0,20.0,4.29368421E8
04001945100,AZ,7553.0,2132,3.4,623.91,31663,35.0808065,-109.1705182,"21,984",704,3.2,"33,665",28.0,0.0,4,275.0,311.0,1.614899613E9
04013050609,AZ,1833.0,6343,1517.5,4.18,67030,33.4559806,-112.5342711,"138,780","2,430",1.75,"64,240",42.0,11.72,4,437.0,533.0,1.0902941E7
04007940400,AZ,4554.0,5531,5.4,1018.0,39258,33.3036191,-110.4667614,"377,920","33,408",8.84,"34,487",28.0,79.54,4,81.0,64.0,2.612727998E9
04007000301,AZ,2723.0,5775,1673.9,3.45,53512,34.2440111,-111.3440639,"46,440",968,2.08,"44,988",51.0,64.84,4,157.0,226.0,8930183.0
04013040516,AZ,1261.0,7427,50.7,146.35,82089,33.6534888,-112.5986238,"43,256",848,1.96,"78,680",60.0,21.5,4,138.0,107.0,3.78528392E8
04005000700,AZ,4468.0,4143,1733.5,2.39,78334,35.2075034,-111.5917363,"31,888",568,1.78,"75,023",35.0,97.45,4,1228.0,1358.0,6470007.0
04001970300,AZ,2346.0,3216,6.0,534.62,51100,34.4903072,-109.3861144,"108,189","1,323",1.22,"61,000",43.0,97.01,4,100.0,86.0,1.378276227E9
04001944902,AZ,1034.0,4201,3.9,1076.47,23023,35.8228356,-109.8775261,"319,104","7,680",2.41,"19,345",36.0,0.0,4,93.0,107.0,2.786242383E9
04007000900,AZ,2791.0,2502,372.9,6.71,43407,33.3899582,-110.8633558,"21,672","1,184",5.46,"43,121",44.0,58.29,4,114.0,122.0,1.7306785E7
04001942700,AZ,2145.0,4491,3.9,1155.35,29435,36.6063051,-109.1489897,"342,080","18,560",5.43,"27,315",34.0,0.0,4,32.0,32.0,2.990232062E9
04003002100,AZ,1408.0,4734,22.0,215.58,77177,31.4193085,-110.1872033,"130,572","2,862",2.19,"65,739",54.0,22.06,4,92.0,68.0,5.61282947E8
04001970502,AZ,3280.0,4767,2.7,1773.86,57891,33.9781246,-109.3193984,"106,353","3,051",2.87,"66,909",53.0,80.03,4,109.0,126.0,4.570089368E9
04005001301,AZ,5864.0,5375,260.8,20.61,105708,35.2652091,-111.5141291,"143,559","1,701",1.18,"88,775",41.0,99.13,4,287.0,327.0,5.3416181E7
