tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles
04013319403,AZ,3676.0,4709,4571.8,1.03,76347,33.4053117,-111.8988716,"315,264","10,816",3.43,"73,095",40.0,6.12
04013319705,AZ,1776.0,3297,2227.7,1.48,63577,33.3892891,-111.9497098,"100,251","1,323",1.32,"61,808",30.0,7.13
04013319902,AZ,1833.0,2762,2762.0,1.0,82370,33.3730869,-111.9396719,"23,864",560,2.35,"82,221",40.0,5.17
04013319904,AZ,1913.0,4928,4928.0,1.0,95122,33.3743788,-111.8987091,"141,318","3,240",2.29,"87,158",41.0,5.9
04013319905,AZ,1833.0,4827,4779.2,1.01,94561,33.3529852,-111.9241363,"343,168","15,040",4.38,"86,930",44.0,6.11
04013319907,AZ,5747.0,2155,2155.0,1.0,157184,33.3407027,-111.9183625,"18,128",624,3.44,"148,745",50.0,5.64
04013319908,AZ,4213.0,2258,2258.0,1.0,80749,33.3533622,-111.9341876,"2,699",49,1.82,"65,000",36.0,6.04
04013319910,AZ,3332.0,4587,1777.9,2.58,123322,33.3417783,-111.9329588,"45,080","1,128",2.5,"133,751",40.0,6.09
04013320001,AZ,2138.0,7287,6228.2,1.17,70947,33.3517388,-111.9535091,"563,264","22,528",4.0,"61,198",31.0,6.51
04013320002,AZ,1604.0,5322,6652.5,0.8,43557,33.3600989,-111.9597964,"414,848","13,696",3.3,"41,856",36.0,5.34
04013320007,AZ,1948.0,6643,8303.8,0.8,60460,33.3752391,-111.9564204,"463,040","6,656",1.44,"59,258",36.0,6.61
04013320100,AZ,4023.0,3591,1890.0,1.9,68232,33.4430397,-111.9454052,"27,272",744,2.73,"56,428",28.0,6.44
04013420104,AZ,4597.0,5447,1840.2,2.96,73686,33.4294221,-111.6415127,"47,096",640,1.36,"58,383",50.0,9.32
04013420105,AZ,5747.0,6299,2135.3,2.95,104965,33.4451353,-111.6495394,"164,754","6,480",3.93,"93,211",45.0,7.89
04013420109,AZ,3981.0,5598,1904.1,2.94,138724,33.4572236,-111.647555,"38,992","1,112",2.85,"124,345",49.0,8.37
04013420111,AZ,6321.0,4082,4082.0,1.0,64737,33.4259543,-111.6196562,"104,355","4,887",4.68,"62,291",38.0,8.99
04013420113,AZ,2749.0,3758,7516.0,0.5,43754,33.41811,-111.6711383,"30,456","1,568",5.15,"41,142",44.0,7.66
04013420115,AZ,3720.0,3169,4401.4,0.72,53280,33.4187165,-111.6114425,"88,776","2,565",2.89,"41,841",37.0,9.44
04013420116,AZ,4597.0,3004,3851.3,0.78,40281,33.4187059,-111.5936581,"77,652","2,484",3.2,"35,695",60.0,11.48
04013420206,AZ,2291.0,3726,640.2,5.82,55061,33.4614638,-111.703677,"29,072",176,0.61,"46,943",69.0,6.78
04013420208,AZ,1375.0,5614,5614.0,1.0,77139,33.4338874,-111.7252916,"155,790","4,239",2.72,"72,559",34.0,6.77
04013420210,AZ,1948.0,5328,5328.0,1.0,70742,33.4391873,-111.6973537,"357,760","7,488",2.09,"68,214",41.0,6.95
04013420212,AZ,3194.0,2957,2957.0,1.0,80250,33.4559155,-111.698997,"25,920",376,1.45,"68,375",53.0,7.29
04013420214,AZ,4598.0,4363,4363.0,1.0,42683,33.4191873,-111.714796,"264,192","2,176",0.82,"40,858",56.0,7.82
04013420215,AZ,9194.0,3114,3114.0,1.0,90976,33.4445634,-111.7275522,"2,335",56,2.4,"83,750",39.0,6.88
04013420216,AZ,1604.0,4264,4264.0,1.0,79850,33.4482568,-111.7058563,"34,552",968,2.8,"75,675",48.0,6.21
04013420303,AZ,3676.0,4314,4314.0,1.0,105509,33.4628981,-111.7618639,"38,200",712,1.86,"109,566",34.0,7.32
04013420401,AZ,5402.0,4574,3749.2,1.22,47449,33.4566085,-111.8353202,"128,682","7,749",6.02,"37,140",32.0,6.74
04013420503,AZ,688.0,3428,6721.6,0.51,56716,33.4388779,-111.8171059,"31,336","1,456",4.65,"40,406",30.0,5.81
04013420603,AZ,1833.0,3972,4053.1,0.98,96614,33.440498,-111.7795973,"32,472",232,0.71,"79,325",33.0,6.21
04013420704,AZ,0.0,5060,5009.9,1.01,86138,33.4315218,-111.758112,"134,136","3,483",2.6,"71,767",39.0,6.5
04013420706,AZ,6091.0,5096,5147.5,0.99,111590,33.4264077,-111.740458,"136,296","2,970",2.18,"114,405",34.0,6.8
04013420707,AZ,2177.0,2397,4794.0,0.5,49778,33.4191242,-111.7574856,"18,984",176,0.93,"47,977",63.0,7.41
04013420709,AZ,1948.0,2925,5850.0,0.5,47595,33.4101899,-111.7580275,"93,744","2,160",2.3,"41,677",66.0,6.23
04013420710,AZ,459.0,3354,6708.0,0.5,56856,33.4103304,-111.7409744,"103,815","5,697",5.49,"41,566",41.0,7.34
04013420800,AZ,6089.0,5275,5275.0,1.0,72415,33.4257477,-111.7966202,"347,456","9,472",2.73,"78,187",31.0,6.27
04013420901,AZ,459.0,3676,7991.3,0.46,59512,33.4333916,-111.818319,"33,008","1,336",4.05,"52,576",30.0,5.93
04013421001,AZ,1375.0,4125,8418.4,0.49,42862,33.4295977,-111.8377747,"31,928","1,864",5.84,"35,784",46.0,5.56
04013421101,AZ,2635.0,4713,4404.7,1.07,56103,33.4427453,-111.8484496,"134,649","4,860",3.61,"51,131",32.0,6.36
04013421102,AZ,3765.0,5988,5870.6,1.02,56572,33.4312963,-111.8504819,"883,625","12,500",1.41,"51,080",30.0,6.72
04013421201,AZ,1833.0,4837,2672.4,1.81,54785,33.4282247,-111.872216,"134,352","5,778",4.3,"56,069",29.0,6.37
04013421202,AZ,345.0,3990,6762.7,0.59,53284,33.4313729,-111.8607529,"107,919","4,698",4.35,"46,964",39.0,5.99
04013421302,AZ,1604.0,6346,6610.4,0.96,41742,33.4113291,-111.8524928,"352,256","21,568",6.12,"30,627",31.0,5.16
04013421303,AZ,4290.0,5610,8014.3,0.7,51403,33.4180456,-111.8755721,"167,292","4,995",2.99,"43,161",29.0,5.73
04013421304,AZ,2749.0,3343,3714.4,0.9,43516,33.4126614,-111.8850115,"25,896",480,1.85,"41,139",26.0,6.03
04013421400,AZ,2177.0,2793,2850.0,0.98,26102,33.4114539,-111.8272226,"156,928","8,256",5.26,"26,194",42.0,6.22
04013421601,AZ,5747.0,3460,7061.2,0.49,54487,33.4188152,-111.8011242,"30,136",168,0.56,"48,874",30.0,4.97
04013421602,AZ,459.0,4398,8975.5,0.49,38978,33.4102173,-111.8025155,"124,794","3,321",2.66,"36,736",30.0,5.68
04013421701,AZ,1146.0,4947,10095.9,0.49,43292,33.4196841,-111.7735813,"139,995","6,021",4.3,"46,698",34.0,6.57
04013421702,AZ,1146.0,3822,7644.0,0.5,39840,33.4123043,-111.7788867,"126,306","4,293",3.4,"35,717",44.0,5.67
04013421801,AZ,0.0,2719,5549.0,0.49,73950,33.3970418,-111.8011376,"24,232",312,1.29,"67,286",36.0,5.88
04013421902,AZ,3665.0,6188,12133.3,0.51,42241,33.4049133,-111.820725,"427,904","13,312",3.11,"30,858",29.0,5.44
